Time (s),Throughput (Mbps)
0,0.003296
1,0.0
2,0.0
3,0.002568
4,1.126472
5,1.227264
6,1.155072
7,1.155072
8,1.335552
9,1.407744
10,1.455872
11,1.696512
12,1.757088
13,1.732608
14,1.732608
15,1.636352
16,1.696512
17,1.62432
18,1.792768
19,1.636352
20,0.445184
21,0.228608
22,0.24064
23,0.24064
24,0.385024
25,0.529408
26,0.48128
27,0.457216
28,0.505344
29,0.433152
30,6.100224
31,1.672864
32,1.756672
33,1.636352
34,1.588224
35,1.540096
36,1.431808
37,1.034752
38,0.276736
39,0.288768
40,0.312832
41,6.401024
42,1.732608
43,1.588224
44,1.516032
45,0.268512
46,0.0
47,2.057472
48,1.901056
49,1.62432
50,1.359616
51,1.708544
52,1.68448
53,0.830208
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,7.965184
61,1.034752
62,0.0
63,0.0
64,0.000744
